instance,base,only loop,only revisit,both
uniform-51-n10-maxradius-100.txt,291.774,287.226 (1.56%),291.774 (0%),287.226 (1.56%)
uniform-51-n10-maxradius-20.txt,301.184,300.042 (0.38%),301.184 (0%),300.042 (0.38%)
uniform-51-n10-maxradius-40.txt,301.184,300.042 (0.38%),301.184 (0%),300.042 (0.38%)
uniform-52-n10-maxradius-150.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-maxradius-200.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-maxradius-20.txt,303.873,303.759 (0.04%),303.873 (0%),303.759 (0.04%)
uniform-52-n10-maxradius-40.txt,288.174,288.059 (0.04%),288.174 (0%),288.059 (0.04%)
uniform-53-n10-maxradius-100.txt,233.662,233.662 (0%),230.0 (1.57%),230.0 (1.57%)
uniform-55-n10-maxradius-40.txt,338.061,337.84 (0.07%),338.061 (0%),337.84 (0.07%)
uniform-57-n10-maxradius-150.txt,204.643,203.725 (0.45%),201.089 (1.74%),201.089 (1.74%)
uniform-57-n10-maxradius-200.txt,197.471,197.471 (0%),197.181 (0.15%),197.181 (0.15%)
uniform-57-n10-maxradius-20.txt,252.931,245.766 (2.83%),252.931 (0%),245.766 (2.83%)
uniform-57-n10-maxradius-40.txt,244.473,237.308 (2.93%),244.473 (0%),237.308 (2.93%)
uniform-58-n10-maxradius-100.txt,257.108,252.126 (1.94%),257.108 (0%),252.126 (1.94%)
uniform-58-n10-maxradius-20.txt,302.874,299.845 (1.0%),302.874 (0%),299.845 (1.0%)
uniform-58-n10-maxradius-40.txt,302.236,295.622 (2.19%),298.012 (1.4%),294.984 (2.4%)
uniform-58-n10-maxradius-60.txt,279.545,275.866 (1.32%),279.545 (0%),275.866 (1.32%)
uniform-59-n10-maxradius-20.txt,351.94,348.395 (1.01%),351.94 (0%),348.395 (1.01%)
uniform-60-n10-maxradius-100.txt,244.052,244.052 (0%),242.933 (0.46%),242.933 (0.46%)
uniform-60-n10-maxradius-150.txt,226.0,225.935 (0.03%),226.0 (0%),225.935 (0.03%)
uniform-60-n10-maxradius-200.txt,226.0,225.935 (0.03%),226.0 (0%),225.935 (0.03%)
uniform-61-n20-maxradius-20.txt,350.012,349.082 (0.27%),350.012 (0%),N/A (0%)
uniform-62-n20-maxradius-15.txt,375.668,370.933 (1.26%),375.668 (0%),370.933 (1.26%)
